,type,name,neuron_class
0,I,ADAR,ADA
1,I,ADAL,ADA
2,S,ADFL,ADF
3,S,ASHL,ASH
4,I,AVDR,AVD
5,I,PVQL,PVQ
6,I,AIBL,AIB
7,I,AIBR,AIB
8,I,AVAR,AVA
9,I,AVBL,AVB
10,I,AVBR,AVB
11,I,AVDL,AVD
12,I,AVEL,AVE
13,I,AVJR,AVJ
14,S,FLPR,FLP
15,I,RICL,RIC
16,I,RICR,RIC
17,M,RIML,RIM
18,I,RIPL,RIP
19,M,SMDVR,SMD
20,S,ADFR,ADF
21,S,ASHR,ASH
22,I,PVQR,PVQ
23,I,AVAL,AVA
24,I,AVJL,AVJ
25,M,RIMR,RIM
26,I,RIPR,RIP
27,M,RIVR,RIB
28,M,SMDVL,SMD
29,S,ADEL,ADE
30,I,AINL,AIN
31,I,AVKR,AVK
32,S,ADER,ADE
33,M,AVL,AVL
34,I,BDUL,BDU
35,S,CEPDL,CEPD
36,S,FLPL,FLP
37,S,IL1L,IL1
38,S,IL2L,IL2
39,S,OLLL,OLL
40,I,RIAL,RIA
41,I,RIFL,RIF
42,I,RIGL,RIG
43,I,RIGR,RIG
44,I,RIH,RIH
45,M,RIVL,RIB
46,M,RMDL,RMD
47,M,RMGL,RMG
48,M,RMHL,RMH
49,I,SIADR,SIA
50,I,SIBDR,SIB
51,M,SMBDR,SMB
52,S,URBL,URB
53,I,AVKL,AVK
54,I,ALA,ALA
55,I,AVER,AVE
56,S,CEPDR,CEPD
57,S,OLLR,OLL
58,S,PVR,PVR
59,M,RMDR,RMD
60,I,SAAVR,SAA
61,I,AIZL,AIZ
62,S,AUAL,AUA
63,S,OLQVL,OLQ
64,I,RIR,RIR
65,M,SMBVL,SMB
66,I,AIAR,AIA
67,I,AIYR,AIY
68,I,AIZR,AIZ
69,S,AUAR,AUA
70,S,AWBR,AWB
71,I,PVPR,PVP
72,I,RIAR,RIA
73,M,SMBVR,SMB
74,S,URXR,URX
75,S,ADLR,ADL
76,S,ADLL,ADL
77,I,AIAL,AIA
78,S,ASER,ASE
79,S,AWBL,AWB
80,S,AWCR,AWC
81,I,PVCL,PVC
82,S,AFDR,AFD
83,S,AFDL,AFD
84,I,AINR,AIN
85,I,AIYL,AIY
86,S,ASIL,ASI
87,S,AWAL,AWA
88,I,AIML,AIM
89,S,ASGL,ASG
90,S,ASKL,ASK
91,M,HSNL,HSN
92,S,ASIR,ASI
93,S,AWAR,AWA
94,S,ASGR,ASG
95,S,AWCL,AWC
96,I,RIFR,RIF
97,I,DVC,DVC
98,I,PVT,PVT
99,I,RIBR,RIB
100,I,SAADL,SAA
101,I,SAADR,SAA
102,M,SMDDR,SMD
103,M,DB01,DB
104,I,RIS,RIS
105,I,RIBL,RIB
106,M,SMDDL,SMD
107,M,VB01,VB
108,S,ALML,ALN
109,I,AVFL,AVF
110,I,AVFR,AVF
111,I,AVHL,AVH
112,I,AVHR,AVH
113,I,AIMR,AIM
114,S,ASJR,ASJ
115,S,ASKR,ASK
116,M,HSNR,HSN
117,S,OLQDR,OLQ
118,I,PVNR,PVN
119,M,RMGR,RMG
120,S,ASEL,ASE
121,S,BAGL,BAG
122,S,BAGR,BAG
123,M,RID,RID
124,I,DVA,DVA
125,M,SMBDL,SMB
126,M,VB02,VB
127,S,AVM,AVM
128,S,CEPVL,CEPV
129,I,PVCR,PVC
130,M,RMDDR,RMD
131,I,SDQL,SDQ
132,S,ALMR,ALM
133,I,BDUR,BDU
134,S,CEPVR,CEPV
135,M,RMDDL,RMD
136,I,SIADL,SIA
137,S,ALNL,ALN
138,I,SAAVL,SAA
139,S,ALNR,ALN
140,M,RMHR,RMH
141,S,AQR,AQR
142,I,PVPL,PVP
143,S,URXL,URX
144,M,AS01,AS
145,M,VA03,VA
146,M,VD02,VD
147,M,DA01,DA
148,M,VD01,VD
149,M,DA02,DA
150,M,AS02,AS
151,M,VA04,VA
152,M,DD01,DD
153,M,AS03,AS
154,M,VA05,VA
155,M,DA03,DA
156,M,VD03,VD
157,M,AS04,AS
158,M,AS05,AS
159,M,VD04,VD
160,M,VA07,VA
161,M,DD02,DD
162,M,VD05,VD
163,M,AS06,AS
164,M,DA05,DA
165,M,VA08,VA
166,M,VD06,VD
167,M,AS07,AS
168,M,AS08,AS
169,M,AS09,AS
170,M,DVB,DVB
171,M,AS10,AS
172,M,PDB,PDB
173,M,AS11,AS
174,M,PDA,PDA
175,M,VD13,VD
176,S,ASJL,ASJ
177,M,DA04,DA
178,M,DA06,DA
179,M,DA07,DA
180,M,DB06,DB
181,I,LUAL,LUA
182,I,SABD,SAB
183,I,SABVR,SAB
184,I,SDQR,SDQ
185,S,URYDL,URY
186,S,URYVR,URY
187,M,VA01,VA
188,M,VA02,VA
189,M,VA06,VA
190,M,VA09,VA
191,M,VA10,VA
192,M,VA11,VA
193,M,VB09,VB
194,M,DA08,DA
195,M,DA09,DA
196,M,DB05,DB
197,M,VA12,VA
198,I,SABVL,SAB
199,S,URYDR,URY
200,S,URYVL,URY
201,M,DB03,DB
202,I,LUAR,LUA
203,S,PDEL,PDE
204,S,PDER,PDE
205,M,DB04,DB
206,M,DB07,DB
207,I,SIBVL,SIB
208,M,VB04,VB
209,M,VB05,VB
210,M,VB06,VB
211,M,VB07,VB
212,M,VB08,VB
213,M,VB10,VB
214,M,VB11,VB
215,M,VC03,VC
216,M,DB02,DB
217,I,PVNL,PVN
218,M,VB03,VB
219,M,VD10,VD
220,S,PQR,PQR
221,M,RMDVR,RMD
222,M,RMEV,RME
223,M,RMDVL,RMD
224,S,AVG,AVG
225,M,VC04,VC
226,M,VD11,VD
227,S,PHAL,PHA
228,S,PHBR,PHB
229,S,PLMR,PLM
230,S,PVM,PVM
231,M,RMFR,RMF
232,I,SIAVR,SIA
233,M,RMFL,RMF
234,M,DD06,DD
235,I,PVWL,PVW
236,M,VD12,VD
237,S,URADL,URA
238,S,URADR,URA
239,S,OLQDL,OLQ
240,S,IL1DL,IL1
241,S,IL1DR,IL1
242,S,IL1R,IL1
243,S,URBR,URB
244,S,IL1VL,IL1
245,I,SIAVL,SIA
246,S,URAVL,URA
247,S,OLQVR,OLQ
248,S,IL1VR,IL1
249,S,IL2VR,IL2
250,S,URAVR,URA
251,S,PHCL,PHC
252,M,DD03,DD
253,M,DD04,DD
254,M,VD08,VD
255,M,DD05,DD
256,M,VD09,VD
257,M,VC05,VC
258,M,VC02,VC
259,M,RMER,RME
260,M,RMEL,RME
261,M,RMED,RME
262,S,IL2R,IL2
263,S,IL2DL,IL2
264,S,IL2DR,IL2
265,S,IL2VL,IL2
266,S,PLML,PLM
267,S,PHBL,PHB
268,I,SIBVR,SIB
269,I,SIBDL,SIB
270,S,PHAR,PHA
271,S,PHCR,PHC
272,S,PLNL,PLN
273,S,PLNR,PLN
274,I,PVWR,PVW
275,I,PVDL,PVD
276,I,PVDR,PVD
277,M,VD07,VD
278,M,VC01,VC
279,U,MDL05,MDL05
280,U,MDR05,MDR05
281,U,MDL08,MDL08
282,U,MDR08,MDR08
283,U,MDL07,MDL07
284,U,MDR07,MDR07
285,U,MDL10,MDL10
286,U,MDR10,MDR10
287,U,MDL09,MDL09
288,U,MDR09,MDR09
289,U,MDL12,MDL12
290,U,MDR12,MDR12
291,U,MDL11,MDL11
292,U,MDR11,MDR11
293,U,MDL14,MDL14
294,U,MDR14,MDR14
295,U,MDL13,MDL13
296,U,MDR13,MDR13
297,U,MDL16,MDL16
298,U,MDR16,MDR16
299,U,MDL15,MDL15
300,U,MDR15,MDR15
301,U,MDL18,MDL18
302,U,MDR18,MDR18
303,U,MDL20,MDL20
304,U,MDR20,MDR20
305,U,MDL17,MDL17
306,U,MDR17,MDR17
307,U,MDL19,MDL19
308,U,MDR19,MDR19
309,U,MDL22,MDL22
310,U,MDR22,MDR22
311,U,MDL21,MDL21
312,U,MDR21,MDR21
313,U,MDL24,MDL24
314,U,MDL23,MDL23
315,U,MDR24,MDR24
316,U,MDR23,MDR23
317,U,MVL12,MVL12
318,U,MVL11,MVL11
319,U,MVL14,MVL14
320,U,MVR14,MVR14
321,U,MVL10,MVL10
322,U,MVR10,MVR10
323,U,MVL03,MVL03
324,U,MVR04,MVR04
325,U,MANAL,MANAL
326,U,MVULVA,MVULVA
327,U,MDL02,MDL02
328,U,MDL01,MDL01
329,U,MDL04,MDL04
330,U,MDR02,MDR02
331,U,MDR01,MDR01
332,U,MDL03,MDL03
333,U,MVL01,MVL01
334,U,MDR03,MDR03
335,U,MVR01,MVR01
336,U,MVR03,MVR03
337,U,MVL02,MVL02
338,U,MVR02,MVR02
339,U,MVL22,MVL22
340,U,MVR21,MVR21
341,U,MVL09,MVL09
342,U,MVL13,MVL13
343,U,MVR05,MVR05
344,U,MVL05,MVL05
345,U,MVL07,MVL07
346,U,MVR06,MVR06
347,U,MVR08,MVR08
